timestamp,stop_id,route_id,direction_id,trip_start_date,trip_id,route_long_name,agency_id,origin_stop_id,origin_stop_name,destination_stop_id,destination_stop_name,congestion_level,position_longitude,position_latitude,position_bearing,occupancy_status,vehicle_label,stop_name,stop_lon,stop_lat,current_status,aimed_arrival_time,expected_arrival_time,aimed_departure_time,expected_departure_time,stop_sequence
1643607326,504749,32189,1,20220131,144733959,"Zuid-Beijerland-Heinenoord",CXX,504749,"Heinenoord, Busstation",2295759,"Zuid-Beijerland, R. van Dorplaan",null,4.43951416015625,51.73754119873047,0.0,null,5885,"Heinenoord, Busstation",4.495856,51.814948,IN_TRANSIT_TO,PT6H18M,0,PT6H18M,1643606296,0
1643607326,504759,32189,1,20220131,144733959,"Zuid-Beijerland-Heinenoord",CXX,504749,"Heinenoord, Busstation",2295759,"Zuid-Beijerland, R. van Dorplaan",null,4.43951416015625,51.73754119873047,0.0,null,5885,"Klaaswaal, Rijksstraatweg",4.443822,51.766989,IN_TRANSIT_TO,PT6H31M,1643606990,PT6H31M,1643607007,5
1643607326,504779,32189,1,20220131,144733959,"Zuid-Beijerland-Heinenoord",CXX,504749,"Heinenoord, Busstation",2295759,"Zuid-Beijerland, R. van Dorplaan",null,4.43951416015625,51.73754119873047,0.0,null,5885,"Numansdorp, Proeftuinlaan",4.441864,51.74771,IN_TRANSIT_TO,PT6H34M,1643607177,PT6H34M,1643607177,7
1643607326,504814,32189,1,20220131,144733959,"Zuid-Beijerland-Heinenoord",CXX,504749,"Heinenoord, Busstation",2295759,"Zuid-Beijerland, R. van Dorplaan",null,4.43951416015625,51.73754119873047,0.0,null,5885,"Numansdorp, Oudesluis",4.443939,51.760698,IN_TRANSIT_TO,PT6H32M,1643607066,PT6H32M,1643607066,6
1643607326,504831,32189,1,20220131,144733959,"Zuid-Beijerland-Heinenoord",CXX,504749,"Heinenoord, Busstation",2295759,"Zuid-Beijerland, R. van Dorplaan",null,4.43951416015625,51.73754119873047,0.0,null,5885,"Mijnsheerenland, Provincialeweg",4.477911,51.80005,IN_TRANSIT_TO,PT6H22M,1643606481,PT6H22M,1643606481,2
1643607326,504852,32189,1,20220131,144733959,"Zuid-Beijerland-Heinenoord",CXX,504749,"Heinenoord, Busstation",2295759,"Zuid-Beijerland, R. van Dorplaan",null,4.43951416015625,51.73754119873047,0.0,null,5885,"Numansdorp, Middelsluis",4.4405,51.743681,IN_TRANSIT_TO,PT6H35M,1643607251,PT6H35M,1643607251,8
1643607326,504867,32189,1,20220131,144733959,"Zuid-Beijerland-Heinenoord",CXX,504749,"Heinenoord, Busstation",2295759,"Zuid-Beijerland, R. van Dorplaan",null,4.43951416015625,51.73754119873047,0.0,null,5885,"Numansdorp, Burg. Henrylaan",4.438965,51.736109,IN_TRANSIT_TO,PT6H37M,1643607352,PT6H37M,1643607352,9
1643607326,504877,32189,1,20220131,144733959,"Zuid-Beijerland-Heinenoord",CXX,504749,"Heinenoord, Busstation",2295759,"Zuid-Beijerland, R. van Dorplaan",null,4.43951416015625,51.73754119873047,0.0,null,5885,"Numansdorp, Hallinxweg",4.438407,51.733021,IN_TRANSIT_TO,PT6H38M,1643607433,PT6H38M,1643607433,10
1643607320,504929,32189,0,20220131,144733960,"Zuid-Beijerland-Heinenoord",CXX,2295759,"Zuid-Beijerland, R. van Dorplaan",1927008,"Heinenoord, Busstation",null,4.48330545425415,51.80797576904297,0.0,null,5882,"Numansdorp, Middelsluis",4.440867,51.744161,IN_TRANSIT_TO,PT6H23M,1643606586,PT6H23M,1643606586,12
1643607320,504937,32189,0,20220131,144733960,"Zuid-Beijerland-Heinenoord",CXX,2295759,"Zuid-Beijerland, R. van Dorplaan",1927008,"Heinenoord, Busstation",null,4.48330545425415,51.80797576904297,0.0,null,5882,"Numansdorp, Burg. Henrylaan",4.439496,51.73703,IN_TRANSIT_TO,PT6H22M,1643606487,PT6H22M,1643606511,11
